date,home_team,away_team,home_score,away_score,tournament,neutral,home_form,home_avg_scored,home_avg_conceded,away_form,away_avg_scored,away_avg_conceded,home_elo,away_elo,elo_diff,result
1931-05-16,Belgium,England,1.0,4.0,Friendly,False,-0.835497267439645,2.0,2.0,-0.4389019591613639,2.0,2.4,1604,2017,-413,L
1931-05-24,Germany,Austria,0.0,6.0,Friendly,False,0.7341031153232073,2.0,1.2,1.8119773128220762,3.0,0.3333333333333333,1814,1932,-118,L
1931-05-24,Switzerland,Scotland,2.0,3.0,Friendly,False,-1.3015794771683526,1.8,3.0,-0.8889714560558316,1.5,2.5,1557,2010,-453,L
1931-05-31,Portugal,Belgium,3.0,2.0,Friendly,False,-0.04608825096201713,1.0,1.0,-0.5242243109423289,2.2,2.6,1692,1604,88,W
1931-06-16,Austria,Switzerland,2.0,0.0,Friendly,False,3.0981940396697567,3.75,0.25,-1.5391112321264413,1.6,3.0,1932,1557,375,W
1931-06-17,Sweden,Germany,0.0,0.0,Friendly,False,-0.20385187925507608,2.5,2.25,-1.5557739074742474,1.0,2.4,1761,1814,-53,D
1931-06-21,Norway,Germany,2.0,2.0,Friendly,False,0.23983616750618952,2.3333333333333335,2.3333333333333335,-1.5557739074742474,0.4,1.8,1676,1814,-138,D
1931-07-04,Argentina,Paraguay,1.0,1.0,Copa Chevallier Boutell,False,5.659637218135712,3.2,1.8,-2.417269675456569,0.5,1.25,2060,1737,323,D
1931-07-09,Argentina,Paraguay,3.0,1.0,Copa Chevallier Boutell,False,3.004244912708721,2.2,1.4,-2.417269675456569,0.6,1.2,2060,1737,323,W
1931-09-06,Brazil,Uruguay,2.0,0.0,Copa Rio Branco,False,0.3939954582240137,3.5,2.5,2.4344050508142416,2.5,1.5,1885,2034,-149,W
1931-09-13,Austria,Germany,5.0,0.0,Friendly,False,3.4661909973510943,3.4,0.2,-1.5557739074742474,0.6,2.0,1932,1814,118,W
1931-09-27,Norway,Sweden,2.0,1.0,Nordic Championship,False,0.23983616750618952,2.25,2.25,-0.20385187925507608,2.0,1.8,1676,1761,-85,W
1931-11-29,France,Netherlands,3.0,4.0,Friendly,False,-0.5105160106561906,2.0,1.6,-1.120653548391818,2.0,3.2,1573,1615,-42,L
1931-11-29,Switzerland,Austria,1.0,8.0,Central European International Cup,False,-0.9238921692847448,1.6,2.4,4.5380382697241615,4.4,0.2,1557,1932,-375,L
1931-12-06,Belgium,Switzerland,2.0,1.0,Friendly,False,-0.7241764151160035,2.2,2.8,-1.5148853566207654,1.8,3.8,1604,1557,47,W
1931-12-09,England,Spain,7.0,1.0,Friendly,False,-0.22654147972868466,1.8,2.2,0.19995210417367462,1.0,0.0,2017,1932,85,W
1932-03-06,Germany,Switzerland,2.0,0.0,Friendly,False,-2.5764514037792283,0.6,2.8,-1.1336527986631564,2.0,3.6,1786,1535,251,W
1932-03-20,Belgium,Netherlands,1.0,4.0,Friendly,False,-0.5354509361766666,2.2,2.6,-0.5462048614011372,2.6,3.2,1616,1644,-28,L
1932-03-20,Switzerland,France,3.0,3.0,Friendly,False,-2.1386130196400646,0.8,3.4,0.5024801104884542,2.6,2.2,1535,1599,-64,D
1932-04-09,England,Scotland,3.0,0.0,British Home Championship,False,1.1322346986335559,2.6,1.8,-0.730380602745506,1.8,2.4,2007,2008,-1,W
1932-04-17,Netherlands,Belgium,2.0,1.0,Friendly,False,0.5709034369166798,2.8,2.2,-0.9240103442872116,2.0,2.8,1644,1616,28,W
1932-05-01,Belgium,France,5.0,2.0,Friendly,False,-1.506849456453029,1.4,2.8,0.7283125402023385,2.8,2.2,1616,1599,17,W
1932-05-08,France,Scotland,1.0,3.0,Friendly,False,0.15540012824372462,2.8,2.8,-0.730380602745506,1.4,2.0,1599,2008,-409,L
1932-05-15,Argentina,Uruguay,2.0,0.0,Friendly,False,-1.9598142409079315,1.6,1.4,2.1955733708290195,1.6666666666666667,1.6666666666666667,2049,2008,41,W
1932-05-18,Uruguay,Argentina,1.0,0.0,Friendly,False,1.7112922107204387,1.25,1.75,0.8877306185299314,1.6,0.6,2008,2049,-41,W
1932-06-12,Sweden,Belgium,3.0,1.0,Friendly,False,-0.5043709105279216,2.0,2.2,-0.22843227976815195,2.2,2.4,1762,1616,146,W
1932-07-01,Sweden,Norway,1.0,4.0,Nordic Championship,False,-0.41987578376422346,1.4,1.8,0.33597153201285873,2.2,2.0,1762,1678,84,L
1932-07-17,Sweden,Austria,3.0,4.0,Friendly,False,-0.7173222649729345,1.2,2.2,4.505835581551981,5.2,0.2,1762,1982,-220,L
1932-09-25,Germany,Sweden,4.0,3.0,Friendly,False,-2.213654146206426,0.8,2.6,-0.2488765551948929,1.6,2.2,1786,1762,24,W
1932-10-23,Austria,Switzerland,3.0,1.0,Central European International Cup,False,3.527582911132549,5.0,0.8,-1.9013176146869095,1.0,3.4,1982,1535,447,W
1932-11-06,Switzerland,Sweden,2.0,1.0,Friendly,False,-1.667094759797889,1.2,3.6,-0.4599371096004383,2.2,3.0,1535,1762,-227,W
1932-12-04,Germany,Netherlands,0.0,2.0,Friendly,False,-0.6000926625259574,1.6,2.0,0.5709034369166798,2.6,2.0,1786,1644,142,L
1932-12-04,Uruguay,Brazil,1.0,2.0,Copa Rio Branco,False,1.953432790774729,1.2,1.4,0.6343634132413034,3.0,1.6666666666666667,2008,1911,97,L
1932-12-07,England,Austria,4.0,3.0,Friendly,False,1.4881778060632886,3.2,1.8,2.4426182134856775,4.4,1.0,2007,1982,25,W
1932-12-11,Belgium,Austria,1.0,6.0,Friendly,False,-0.44528340929456617,2.0,2.4,1.8426437259621877,4.6,1.8,1616,1982,-366,L
1933-01-21,Uruguay,Argentina,2.0,1.0,Friendly,False,1.836439538332685,1.2,1.6,0.44114728420823135,1.4,0.8,1985,2049,-64,W
1933-01-22,Netherlands,Switzerland,0.0,2.0,Friendly,False,0.9812070454810996,2.8,1.8,-0.6452355134682409,1.4,2.2,1678,1637,41,L
1933-02-05,Argentina,Uruguay,4.0,1.0,Friendly,False,0.20656990431181044,1.4,1.0,-0.3428256821559279,0.8,1.4,2049,1985,64,W
1933-02-12,France,Austria,0.0,4.0,Friendly,False,-0.5029528104983212,2.8,3.4,1.7729204745068285,4.8,2.0,1573,2017,-444,L
1933-03-12,Switzerland,Belgium,3.0,3.0,Friendly,False,-0.060151076255555824,1.6,1.8,-1.8272218881402817,1.8,3.4,1637,1595,42,D
1933-03-19,Germany,France,3.0,3.0,Friendly,False,-1.0015331459053738,1.6,2.4,-2.1764290204294126,1.8,3.8,1770,1573,197,D
1933-03-26,France,Belgium,3.0,0.0,Friendly,False,-1.9781313662902715,1.8,3.6,-1.2323289257228598,2.2,3.2,1573,1595,-22,W
